PLEDGE_ID,DONOR_ID,DONOR_TYPE,DONOR_FACULTY,DATE_PLEDGED,TOTAL_PLEDGE_AMT,AMOUNT_PAID_TO_DATE,REMAINING_BALANCE,PLEDGE_ALLOCATION_ID,ALLOCATION_DEPARTMENT,ALLOCATION_PURPOSE,SCHEDULED_PAYMENT_DATE,SCHEDULED_PAYMENT_AMOUNT,SCHEDULED_PAYMENT_STATUS
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250326,5,P
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250501,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250601,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250701,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250801,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20250901,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20251001,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20251101,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20251201,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260101,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260201,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260301,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260401,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260501,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260601,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260701,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260801,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20260901,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20261001,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20261101,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20261201,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270101,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270201,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270301,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270401,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270501,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270601,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270701,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270801,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20270901,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20271001,5,U
313651,715037,Alumni,Engineering,3/26/2025,300,5,295,A110A,Engineering,Academic Divisions,20271101,5,U
